true_idx,predicted_idx,true_class,predicted_class,count
216,334,04023_Animalia_Chordata_Aves_Passeriformes_Panuridae_Panurus_biarmicus,06443_Plantae_Tracheophyta_Liliopsida_Poales_Typhaceae_Typha_angustifolia,4
448,359,08705_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Plantaginaceae_Veronica_teucrium,06891_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Matricaria_discoidea,3
84,70,01632_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Helicoverpa_armigera,01395_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Polites_sabuleti,3
50,81,01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,01561_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Acronicta_vinnula,3
480,359,09331_Plantae_Tracheophyta_Magnoliopsida_Rosales_Rhamnaceae_Ceanothus_thyrsiflorus,06891_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Matricaria_discoidea,3
165,242,03270_Animalia_Chordata_Aves_Anseriformes_Anatidae_Spatula_discors,04485_Animalia_Chordata_Aves_Podicipediformes_Podicipedidae_Tachybaptus_ruficollis,2
486,420,09539_Plantae_Tracheophyta_Magnoliopsida_Sapindales_Anacardiaceae_Rhus_microphylla,08014_Plantae_Tracheophyta_Magnoliopsida_Fabales_Fabaceae_Lupinus_truncatus,2
186,178,03495_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Tringa_semipalmata,03370_Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Vanellus_armatus,2
371,359,07096_Plantae_Tracheophyta_Magnoliopsida_Asterales_Campanulaceae_Campanula_sibirica,06891_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Matricaria_discoidea,2
56,63,01137_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Zale_horrida,01252_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Lomographa_glomeraria,2
356,336,06854_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Ixeris_chinensis,06468_Plantae_Tracheophyta_Lycopodiopsida_Lycopodiales_Lycopodiaceae_Lycopodium_clavatum,2
483,476,09483_Plantae_Tracheophyta_Magnoliopsida_Rosales_Rosaceae_Sanguisorba_minor,09268_Plantae_Tracheophyta_Magnoliopsida_Ranunculales_Ranunculaceae_Ranunculus_glaberrimus,2
141,144,02794_Animalia_Chordata_Actinopterygii_Perciformes_Acanthuridae_Naso_lituratus,02811_Animalia_Chordata_Actinopterygii_Perciformes_Chaetodontidae_Chaetodon_auriga,2
35,363,00756_Animalia_Arthropoda_Insecta_Hymenoptera_Formicidae_Linepithema_humile,06954_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Pseudognaphalium_obtusifolium,2
58,97,01158_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Cabera_pusaria,01879_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Hypolimnas_misippus,2
10,289,00172_Animalia_Arthropoda_Hexanauplia_Sessilia_Balanidae_Semibalanus_balanoides,05404_Fungi_Ascomycota_Lecanoromycetes_Lecanorales_Cladoniaceae_Cladonia_stellaris,2
198,251,03660_Animalia_Chordata_Aves_Gruiformes_Rallidae_Gallinula_chloropus,04683_Animalia_Chordata_Mammalia_Carnivora_Felidae_Panthera_onca,2
408,380,07838_Plantae_Tracheophyta_Magnoliopsida_Ericales_Polemoniaceae_Polemonium_caeruleum,07270_Plantae_Tracheophyta_Magnoliopsida_Brassicales_Brassicaceae_Rapistrum_rugosum,2
343,289,06589_Plantae_Tracheophyta_Magnoliopsida_Asterales_Argophyllaceae_Corokia_cotoneaster,05404_Fungi_Ascomycota_Lecanoromycetes_Lecanorales_Cladoniaceae_Cladonia_stellaris,2
446,403,08683_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Plantaginaceae_Plantago_virginica,07764_Plantae_Tracheophyta_Magnoliopsida_Ericales_Ericaceae_Phyllodoce_empetriformis,2
151,298,02973_Animalia_Chordata_Amphibia_Anura_Craugastoridae_Pristimantis_achatinus,05509_Fungi_Basidiomycota_Agaricomycetes_Agaricales_Cyphellaceae_Chondrostereum_purpureum,2
379,359,07266_Plantae_Tracheophyta_Magnoliopsida_Brassicales_Brassicaceae_Nasturtium_officinale,06891_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Matricaria_discoidea,2
252,182,04708_Animalia_Chordata_Mammalia_Carnivora_Otariidae_Phocarctos_hookeri,03423_Animalia_Chordata_Aves_Charadriiformes_Laridae_Larus_michahellis,2
381,365,07304_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Aizoaceae_Mesembryanthemum_cordifolium,06969_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Senecio_ampullaceus,2
358,370,06884_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Madia_elegans,07045_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Thymophylla_pentachaeta,2
86,117,01672_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Orthodes_majuscula,02240_Animalia_Arthropoda_Insecta_Lepidoptera_Tortricidae_Clepsis_melaleucana,2
290,3,05407_Fungi_Ascomycota_Lecanoromycetes_Lecanorales_Parmeliaceae_Evernia_prunastri,00059_Animalia_Arthropoda_Arachnida_Araneae_Lycosidae_Hogna_radiata,2
45,81,01002_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Catocala_neogama,01561_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Acronicta_vinnula,2
229,192,04300_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Empidonax_flaviventris,03603_Animalia_Chordata_Aves_Falconiformes_Falconidae_Falco_rupicolus,2
421,354,08024_Plantae_Tracheophyta_Magnoliopsida_Fabales_Fabaceae_Melilotus_albus,06844_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Hymenopappus_scabiosaeus,2
