true_idx,predicted_idx,true_class,predicted_class,count
205,192,03860_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Stelgidopteryx_ruficollis,03603_Animalia_Chordata_Aves_Falconiformes_Falconidae_Falco_rupicolus,3
41,55,00915_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Palpita_quadristigmalis,01136_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Virbia_laeta,3
443,275,08577_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Orobanchaceae_Castilleja_indivisa,05028_Animalia_Chordata_Reptilia_Squamata_Lamprophiidae_Pseudaspis_cana,3
401,486,07711_Plantae_Tracheophyta_Magnoliopsida_Ericales_Ericaceae_Arctostaphylos_patula,09539_Plantae_Tracheophyta_Magnoliopsida_Sapindales_Anacardiaceae_Rhus_microphylla,2
363,403,06954_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Pseudognaphalium_obtusifolium,07764_Plantae_Tracheophyta_Magnoliopsida_Ericales_Ericaceae_Phyllodoce_empetriformis,2
435,461,08317_Plantae_Tracheophyta_Magnoliopsida_Gentianales_Loganiaceae_Geniostoma_ligustrifolium,09075_Plantae_Tracheophyta_Magnoliopsida_Myrtales_Onagraceae_Taraxia_ovata,2
274,242,04998_Animalia_Chordata_Reptilia_Squamata_Eublepharidae_Coleonyx_variegatus,04485_Animalia_Chordata_Aves_Podicipediformes_Podicipedidae_Tachybaptus_ruficollis,2
129,367,02482_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Diplacodes_trivialis,06984_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Senecio_vulgaris,2
360,261,06911_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Osteospermum_moniliferum,04866_Animalia_Chordata_Reptilia_Squamata_Agamidae_Acanthocercus_atricollis,2
45,81,01002_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Catocala_neogama,01561_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Acronicta_vinnula,2
495,372,09856_Plantae_Tracheophyta_Pinopsida_Pinales_Taxaceae_Taxus_baccata,07148_Plantae_Tracheophyta_Magnoliopsida_Boraginales_Boraginaceae_Euploca_tenella,2
462,311,09077_Plantae_Tracheophyta_Magnoliopsida_Myrtales_Penaeaceae_Saltera_sarcocolla,05883_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Bloomeria_crocea,2
371,493,07096_Plantae_Tracheophyta_Magnoliopsida_Asterales_Campanulaceae_Campanula_sibirica,09808_Plantae_Tracheophyta_Pinopsida_Pinales_Pinaceae_Picea_engelmannii,2
234,109,04383_Animalia_Chordata_Aves_Pelecaniformes_Ardeidae_Ixobrychus_sinensis,02096_Animalia_Arthropoda_Insecta_Lepidoptera_Pieridae_Pieris_oleracea,2
332,383,06403_Plantae_Tracheophyta_Liliopsida_Poales_Poaceae_Oryzopsis_asperifolia,07340_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Cactaceae_Acanthocereus_tetragonus,2
241,247,04476_Animalia_Chordata_Aves_Podicipediformes_Podicipedidae_Podiceps_cristatus,04579_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_penicillatus,2
309,455,05823_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Chamaerops_humilis,08882_Plantae_Tracheophyta_Magnoliopsida_Malpighiales_Violaceae_Melicytus_alpinus,2
193,177,03610_Animalia_Chordata_Aves_Falconiformes_Falconidae_Milvago_chimango,03365_Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Elseyornis_melanops,2
86,45,01672_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Orthodes_majuscula,01002_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Catocala_neogama,2
172,186,03339_Animalia_Chordata_Aves_Charadriiformes_Alcidae_Cepphus_columba,03495_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Tringa_semipalmata,2
90,86,01711_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Sunira_bicolorago,01672_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Orthodes_majuscula,2
379,491,07266_Plantae_Tracheophyta_Magnoliopsida_Brassicales_Brassicaceae_Nasturtium_officinale,09787_Plantae_Tracheophyta_Pinopsida_Pinales_Cupressaceae_Juniperus_oxycedrus,2
186,172,03495_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Tringa_semipalmata,03339_Animalia_Chordata_Aves_Charadriiformes_Alcidae_Cepphus_columba,2
216,334,04023_Animalia_Chordata_Aves_Passeriformes_Panuridae_Panurus_biarmicus,06443_Plantae_Tracheophyta_Liliopsida_Poales_Typhaceae_Typha_angustifolia,2
496,495,09895_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Aspleniaceae_Asplenium_flaccidum,09856_Plantae_Tracheophyta_Pinopsida_Pinales_Taxaceae_Taxus_baccata,2
