true_idx,predicted_idx,true_class,predicted_class,count
252,499,04708_Animalia_Chordata_Mammalia_Carnivora_Otariidae_Phocarctos_hookeri,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,5
237,499,04396_Animalia_Chordata_Aves_Pelecaniformes_Pelecanidae_Pelecanus_thagus,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,5
10,499,00172_Animalia_Arthropoda_Hexanauplia_Sessilia_Balanidae_Semibalanus_balanoides,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,5
427,499,08141_Plantae_Tracheophyta_Magnoliopsida_Fagales_Betulaceae_Alnus_rhombifolia,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,5
430,499,08188_Plantae_Tracheophyta_Magnoliopsida_Fagales_Fagaceae_Quercus_kelloggii,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,5
292,499,05428_Fungi_Ascomycota_Lecanoromycetes_Ostropales_Phlyctidaceae_Phlyctis_argena,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,5
322,488,06109_Plantae_Tracheophyta_Liliopsida_Commelinales_Commelinaceae_Tradescantia_fluminensis,09752_Plantae_Tracheophyta_Magnoliopsida_Vitales_Vitaceae_Ampelopsis_cordata,5
281,499,05191_Animalia_Cnidaria_Hydrozoa_Siphonophorae_Physaliidae_Physalia_physalis,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,5
395,488,07593_Plantae_Tracheophyta_Magnoliopsida_Cornales_Cornaceae_Cornus_alba,09752_Plantae_Tracheophyta_Magnoliopsida_Vitales_Vitaceae_Ampelopsis_cordata,4
229,499,04300_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Empidonax_flaviventris,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,4
455,499,08882_Plantae_Tracheophyta_Magnoliopsida_Malpighiales_Violaceae_Melicytus_alpinus,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,4
363,499,06954_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Pseudognaphalium_obtusifolium,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,4
51,499,01085_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Mocis_marcida,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,4
405,256,07789_Plantae_Tracheophyta_Magnoliopsida_Ericales_Ericaceae_Vaccinium_arboreum,04796_Animalia_Chordata_Mammalia_Rodentia_Caviidae_Cavia_aperea,4
20,499,00417_Animalia_Arthropoda_Insecta_Coleoptera_Zopheridae_Phloeodes_diabolicus,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,4
212,499,03989_Animalia_Chordata_Aves_Passeriformes_Muscicapidae_Myophonus_caeruleus,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,4
102,154,01972_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Speyeria_callippe,03085_Animalia_Chordata_Amphibia_Caudata_Plethodontidae_Eurycea_lucifuga,4
424,488,08101_Plantae_Tracheophyta_Magnoliopsida_Fabales_Fabaceae_Trifolium_subterraneum,09752_Plantae_Tracheophyta_Magnoliopsida_Vitales_Vitaceae_Ampelopsis_cordata,4
293,499,05455_Fungi_Ascomycota_Pezizomycetes_Pezizales_Helvellaceae_Helvella_crispa,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,4
110,499,02109_Animalia_Arthropoda_Insecta_Lepidoptera_Psychidae_Thyridopteryx_ephemeraeformis,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,4
365,256,06969_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Senecio_ampullaceus,04796_Animalia_Chordata_Mammalia_Rodentia_Caviidae_Cavia_aperea,4
367,499,06984_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Senecio_vulgaris,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,4
393,488,07539_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Polygonaceae_Fallopia_scandens,09752_Plantae_Tracheophyta_Magnoliopsida_Vitales_Vitaceae_Ampelopsis_cordata,4
309,499,05823_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Chamaerops_humilis,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,4
279,499,05151_Animalia_Chordata_Reptilia_Testudines_Emydidae_Terrapene_carolina,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,4
74,488,01425_Animalia_Arthropoda_Insecta_Lepidoptera_Lasiocampidae_Trabala_vishnou,09752_Plantae_Tracheophyta_Magnoliopsida_Vitales_Vitaceae_Ampelopsis_cordata,4
97,488,01879_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Hypolimnas_misippus,09752_Plantae_Tracheophyta_Magnoliopsida_Vitales_Vitaceae_Ampelopsis_cordata,4
466,488,09170_Plantae_Tracheophyta_Magnoliopsida_Ranunculales_Papaveraceae_Dicentra_canadensis,09752_Plantae_Tracheophyta_Magnoliopsida_Vitales_Vitaceae_Ampelopsis_cordata,4
482,499,09370_Plantae_Tracheophyta_Magnoliopsida_Rosales_Rosaceae_Coleogyne_ramosissima,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,4
195,499,03653_Animalia_Chordata_Aves_Gruiformes_Rallidae_Aramides_albiventris,09980_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Pteridaceae_Pellaea_glabella,4
