true_class,scratch_accuracy,scratch_images,pretrained_accuracy,pretrained_images,scratch_percent,pretrained_percent,improvement_points,species
00004_Animalia_Arthropoda_Arachnida_Araneae_Agelenidae_Eratigena_duellica,0.3,10,0.5,10,30.0,50.0,20.0,Eratigena duellica
00011_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_quadratus,0.3,10,0.7,10,30.0,70.0,40.0,Araneus quadratus
00054_Animalia_Arthropoda_Arachnida_Araneae_Dysderidae_Dysdera_crocata,0.3,10,0.7,10,30.0,70.0,40.0,Dysdera crocata
00059_Animalia_Arthropoda_Arachnida_Araneae_Lycosidae_Hogna_radiata,0.4,10,0.5,10,40.0,50.0,10.0,Hogna radiata
00064_Animalia_Arthropoda_Arachnida_Araneae_Pholcidae_Holocnemus_pluchei,0.6,10,0.7,10,60.0,70.0,10.0,Holocnemus pluchei
00098_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Salticus_scenicus,0.2,10,0.8,10,20.0,80.0,60.0,Salticus scenicus
00104_Animalia_Arthropoda_Arachnida_Araneae_Sparassidae_Micrommata_virescens,0.3,10,0.6,10,30.0,60.0,30.0,Micrommata virescens
00118_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Latrodectus_mactans,0.5,10,0.5,10,50.0,50.0,0.0,Latrodectus mactans
00121_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Steatoda_capensis,0.2,10,0.7,10,20.0,70.0,50.0,Steatoda capensis
00159_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Scolopendra_heros,0.3,10,0.8,10,30.0,80.0,50.0,Scolopendra heros
00172_Animalia_Arthropoda_Hexanauplia_Sessilia_Balanidae_Semibalanus_balanoides,0.6,10,1.0,10,60.0,100.0,40.0,Semibalanus balanoides
00248_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Rhagium_inquisitor,0.4,10,0.8,10,40.0,80.0,40.0,Rhagium inquisitor
00258_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Tetraopes_femoratus,0.6,10,0.9,10,60.0,90.0,30.0,Tetraopes femoratus
00271_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Chrysochus_auratus,0.7,10,0.9,10,70.0,90.0,20.0,Chrysochus auratus
00281_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Diabrotica_balteata,0.5,10,0.6,10,50.0,60.0,10.0,Diabrotica balteata
00300_Animalia_Arthropoda_Insecta_Coleoptera_Cleridae_Trichodes_apiarius,0.9,10,1.0,10,90.0,100.0,10.0,Trichodes apiarius
