case_type,path,true_idx,predicted_idx,confidence
correct,val/04791_Animalia_Chordata_Mammalia_Primates_Cercopithecidae_Trachypithecus_obscurus/e2785080-f002-4a6d-b0cf-ee2ff7c2db8d.jpg,255,255,0.149964302778244
correct,val/05248_Animalia_Mollusca_Bivalvia_Venerida_Veneridae_Leukoma_staminea/e30139a3-8807-485f-b939-9d9eae5c767e.jpg,282,282,0.2341950237751007
correct,val/00300_Animalia_Arthropoda_Insecta_Coleoptera_Cleridae_Trichodes_apiarius/c0de8a0e-84f7-4543-9d55-4461d34ce5b8.jpg,15,15,0.9670398831367492
correct,val/03969_Animalia_Chordata_Aves_Passeriformes_Motacillidae_Motacilla_capensis/3ff84e32-15d7-4274-b9cd-f003e47a72b0.jpg,211,211,0.6085703372955322
correct,val/02794_Animalia_Chordata_Actinopterygii_Perciformes_Acanthuridae_Naso_lituratus/75386278-252d-4bb6-acb3-a74206d67ac3.jpg,141,141,0.9559065103530884
correct,val/08719_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Scrophulariaceae_Verbascum_virgatum/262d0558-e908-4bfc-911a-c8a9bf0877d1.jpg,450,450,0.5778301954269409
incorrect,val/00011_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_quadratus/71807dc3-1440-4582-9609-8a47a97d3078.jpg,1,2,0.9774173498153688
incorrect,val/09014_Plantae_Tracheophyta_Magnoliopsida_Myrtales_Myrtaceae_Lophomyrtus_bullata/f77c71f1-8285-47a3-b66a-00ec02466e5f.jpg,460,307,0.9637942910194396
incorrect,val/08492_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Lamiaceae_Salvia_mellifera/911a35fe-aa04-46f2-ad98-313a3ca68b51.jpg,440,402,0.952641785144806
incorrect,val/02500_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Leucorrhinia_hudsonica/fc674b2d-f3e5-4439-9bf6-c66860dc2510.jpg,130,124,0.9418689608573914
incorrect,val/04393_Animalia_Chordata_Aves_Pelecaniformes_Pelecanidae_Pelecanus_occidentalis/1341277a-9586-4a4b-bf96-6f4e85d2a80a.jpg,236,160,0.940929651260376
incorrect,val/03407_Animalia_Chordata_Aves_Charadriiformes_Laridae_Ichthyaetus_ichthyaetus/fd0d0499-a310-4be6-a2fd-f0c82223e92f.jpg,180,159,0.9375991821289062
