true_idx,predicted_idx,true_class,predicted_class,count
148,147,02859_Animalia_Chordata_Actinopterygii_Perciformes_Percidae_Perca_fluviatilis,02852_Animalia_Chordata_Actinopterygii_Perciformes_Moronidae_Morone_americana,4
186,185,03495_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Tringa_semipalmata,03482_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Numenius_phaeopus,4
175,176,03361_Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Charadrius_semipalmatus,03364_Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Charadrius_wilsonia,4
70,67,01395_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Polites_sabuleti,01339_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Atalopedes_campestris,4
229,230,04300_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Empidonax_flaviventris,04304_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Empidonax_occidentalis,3
7,8,00118_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Latrodectus_mactans,00121_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Steatoda_capensis,3
207,208,03937_Animalia_Chordata_Aves_Passeriformes_Meliphagidae_Prosthemadera_novaeseelandiae,03941_Animalia_Chordata_Aves_Passeriformes_Mimidae_Melanotis_caerulescens,3
465,456,09117_Plantae_Tracheophyta_Magnoliopsida_Piperales_Saururaceae_Houttuynia_cordata,08898_Plantae_Tracheophyta_Magnoliopsida_Malpighiales_Violaceae_Viola_mirabilis,3
317,320,06023_Plantae_Tracheophyta_Liliopsida_Asparagales_Orchidaceae_Dactylorhiza_viridis,06075_Plantae_Tracheophyta_Liliopsida_Asparagales_Orchidaceae_Platanthera_clavellata,3
130,124,02500_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Leucorrhinia_hudsonica,02406_Animalia_Arthropoda_Insecta_Odonata_Cordulegastridae_Cordulegaster_maculata,3
185,184,03482_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Numenius_phaeopus,03458_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Calidris_fuscicollis,3
291,290,05423_Fungi_Ascomycota_Lecanoromycetes_Lecanorales_Ramalinaceae_Ramalina_celastri,05407_Fungi_Ascomycota_Lecanoromycetes_Lecanorales_Parmeliaceae_Evernia_prunastri,3
