epoch,train_loss,train_top1,train_top5,validation_loss,validation_top1,validation_top5,learning_rate,epoch_seconds
1,4.7281477210998535,0.1853,0.3877,3.700438465881348,0.3346,0.6072,0.0002991810233575568,242.40013179194648
2,3.2076426380157472,0.4451,0.7143,3.330848468017578,0.4008,0.666,0.0002967330663097039,237.29776108299848
3,2.675014740371704,0.5728,0.8135,2.929129011917114,0.504,0.7562,0.0002926829491861254,238.00557875004597
4,2.345590355682373,0.65505,0.8668,2.7678328971862793,0.538,0.7834,0.00028707504591756876,245.5738030000357
5,2.1042613300323487,0.71895,0.9097,2.722279062652588,0.543,0.791,0.00027997079786577355,256.5410202080384
6,1.899399593925476,0.78185,0.94205,2.751683363342285,0.5516,0.7842,0.0002714480406590546,263.7905525000533
7,1.7427755138397216,0.8269,0.9624,2.6067662117004393,0.5874,0.816,0.0002616001514088704,249.89629808301106
8,1.6055874353408814,0.8703,0.9782,2.6294583305358885,0.5844,0.8062,0.0002505350256506492,250.31456833402626
9,1.4975513988494873,0.90505,0.9883,2.629221733093262,0.5922,0.8072,0.00023837389521772463,250.93167383398395
10,1.4002625522613525,0.93685,0.9943,2.582948938751221,0.605,0.8136,0.00022524999999999992,251.95004920801148
11,1.3360328035354614,0.9548,0.99745,2.672471139907837,0.5802,0.8038,0.0002113071281398321,256.25408633297775
12,1.285629564666748,0.96875,0.9983,2.5318406940460205,0.621,0.8252,0.00019669804065905458,271.82457754202187
13,1.2415844535827636,0.98,0.99895,2.567118660736084,0.6134,0.821,0.00018158279777725494,274.48876145796385
14,1.2098719074249267,0.9849,0.9996,2.563001975631714,0.6116,0.8218,0.00016612700525851415,271.7485883749323
15,1.1809265810012817,0.98935,0.99975,2.5241665866851806,0.6204,0.8236,0.0001505,255.65408345893957
16,1.1580769203186034,0.99335,0.99985,2.5132716171264646,0.6308,0.8242,0.0001348729947414858,260.1382765000453
17,1.146434370803833,0.99375,0.99985,2.4974111030578614,0.6306,0.8246,0.00011941720222274492,263.19978883408476
18,1.1286035404205321,0.99605,0.99985,2.480959661102295,0.6446,0.8316,0.00010430195934094534,249.73936266708188
19,1.1133283952713013,0.99785,0.99975,2.4955438209533694,0.642,0.8264,8.969287186016786e-05,250.9849568339996
20,1.1026519863128663,0.9983,1.0,2.4980117179870605,0.6514,0.8306,7.575000000000001e-05,263.96641754196025
21,1.093466051864624,0.99875,0.99995,2.4692680603027344,0.6528,0.8306,6.262610478227527e-05,266.5562611250207
22,1.0818330589294434,0.99905,1.0,2.467353176879883,0.6566,0.8332,5.046497434935074e-05,261.7277167920256
23,1.0772013090133667,0.99895,0.99995,2.4714169845581053,0.6566,0.8348,3.939984859112959e-05,252.9595210410189
24,1.0690290481567384,0.9994,1.0,2.4775077995300294,0.6626,0.8358,2.9551959340945373e-05,254.1805332909571
25,1.0662328205108642,0.9992,0.9999,2.4715180274963378,0.664,0.8364,2.1029202134226415e-05,255.05910733307246
26,1.0596462295532227,0.9996,1.0,2.474622675323486,0.6636,0.8364,1.3924954082431155e-05,255.16265745903365
27,1.0573416606903077,0.9996,0.99995,2.471352508163452,0.664,0.8386,8.317050813874547e-06,255.0590262080077
28,1.0553332107543945,0.99965,1.0,2.474956770324707,0.6674,0.8366,4.26693369029605e-06,255.3611450829776
29,1.0526270658493042,0.99955,0.99995,2.470059655380249,0.6652,0.8368,1.8189766424431266e-06,255.40065441699699
30,1.051919296836853,0.99975,1.0,2.4705645793914797,0.6672,0.838,1e-06,255.4297634579707
