true_idx,predicted_idx,true_class,predicted_class,count
419,437,08009_Plantae_Tracheophyta_Magnoliopsida_Fabales_Fabaceae_Lupinus_perennis,08423_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Lamiaceae_Agastache_foeniculum,5
123,135,02372_Animalia_Arthropoda_Insecta_Odonata_Coenagrionidae_Enallagma_durum,02594_Animalia_Arthropoda_Insecta_Odonata_Platycnemididae_Platycnemis_pennipes,5
155,156,03090_Animalia_Chordata_Amphibia_Caudata_Plethodontidae_Plethodon_cinereus,03092_Animalia_Chordata_Amphibia_Caudata_Plethodontidae_Plethodon_dorsalis,4
70,67,01395_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Polites_sabuleti,01339_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Atalopedes_campestris,4
414,442,07906_Plantae_Tracheophyta_Magnoliopsida_Fabales_Fabaceae_Amphicarpaea_bracteata,08549_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Oleaceae_Fraxinus_nigra,4
135,123,02594_Animalia_Arthropoda_Insecta_Odonata_Platycnemididae_Platycnemis_pennipes,02372_Animalia_Arthropoda_Insecta_Odonata_Coenagrionidae_Enallagma_durum,3
227,226,04275_Animalia_Chordata_Aves_Passeriformes_Turdidae_Sialia_sialis,04274_Animalia_Chordata_Aves_Passeriformes_Turdidae_Sialia_mexicana,3
305,306,05746_Plantae_Bryophyta_Bryopsida_Hypnales_Hylocomiaceae_Pleurozium_schreberi,05754_Plantae_Bryophyta_Bryopsida_Hypnales_Plagiotheciaceae_Plagiothecium_undulatum,3
223,215,04211_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Coereba_flaveola,04012_Animalia_Chordata_Aves_Passeriformes_Nectariniidae_Leptocoma_zeylonica,3
134,129,02542_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Orthetrum_sabina,02482_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Diplacodes_trivialis,3
439,438,08427_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Lamiaceae_Ajuga_reptans,08426_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Lamiaceae_Ajuga_genevensis,3
184,186,03458_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Calidris_fuscicollis,03495_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Tringa_semipalmata,3
58,61,01158_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Cabera_pusaria,01216_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Eusarca_confusaria,3
69,68,01364_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Erynnis_tages,01359_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Erynnis_funeralis,3
48,88,01055_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Hypercompe_scribonia,01688_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Polygrammate_hebraeicum,3
274,156,04998_Animalia_Chordata_Reptilia_Squamata_Eublepharidae_Coleonyx_variegatus,03092_Animalia_Chordata_Amphibia_Caudata_Plethodontidae_Plethodon_dorsalis,3
283,282,05250_Animalia_Mollusca_Bivalvia_Venerida_Veneridae_Ruditapes_philippinarum,05248_Animalia_Mollusca_Bivalvia_Venerida_Veneridae_Leukoma_staminea,3
0,3,00004_Animalia_Arthropoda_Arachnida_Araneae_Agelenidae_Eratigena_duellica,00059_Animalia_Arthropoda_Arachnida_Araneae_Lycosidae_Hogna_radiata,3
272,271,04966_Animalia_Chordata_Reptilia_Squamata_Colubridae_Thamnophis_cyrtopsis,04965_Animalia_Chordata_Reptilia_Squamata_Colubridae_Thamnophis_atratus,3
236,237,04393_Animalia_Chordata_Aves_Pelecaniformes_Pelecanidae_Pelecanus_occidentalis,04396_Animalia_Chordata_Aves_Pelecaniformes_Pelecanidae_Pelecanus_thagus,3
348,490,06666_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Calendula_officinalis,09771_Plantae_Tracheophyta_Magnoliopsida_Zygophyllales_Zygophyllaceae_Kallstroemia_grandiflora,3
3,0,00059_Animalia_Arthropoda_Arachnida_Araneae_Lycosidae_Hogna_radiata,00004_Animalia_Arthropoda_Arachnida_Araneae_Agelenidae_Eratigena_duellica,3
386,387,07423_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Caryophyllaceae_Cerastium_arvense,07441_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Caryophyllaceae_Rabelera_holostea,3
185,186,03482_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Numenius_phaeopus,03495_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Tringa_semipalmata,3
237,236,04396_Animalia_Chordata_Aves_Pelecaniformes_Pelecanidae_Pelecanus_thagus,04393_Animalia_Chordata_Aves_Pelecaniformes_Pelecanidae_Pelecanus_occidentalis,2
173,211,03347_Animalia_Chordata_Aves_Charadriiformes_Burhinidae_Burhinus_vermiculatus,03969_Animalia_Chordata_Aves_Passeriformes_Motacillidae_Motacilla_capensis,2
122,121,02337_Animalia_Arthropoda_Insecta_Odonata_Calopterygidae_Matrona_cyanoptera,02330_Animalia_Arthropoda_Insecta_Odonata_Calopterygidae_Calopteryx_aequabilis,2
49,82,01078_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_indomita,01564_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Agrotis_infusa,2
215,217,04012_Animalia_Chordata_Aves_Passeriformes_Nectariniidae_Leptocoma_zeylonica,04053_Animalia_Chordata_Aves_Passeriformes_Parulidae_Leiothlypis_celata,2
209,231,03943_Animalia_Chordata_Aves_Passeriformes_Mimidae_Mimus_longicaudatus,04330_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Tyrannus_dominicensis,2
