epoch,train_loss,train_top1,train_top5,validation_loss,validation_top1,validation_top5,learning_rate,epoch_seconds
1,6.133370491027832,0.0063,0.0265,5.905103427124024,0.013,0.0518,0.04996574522119057,256.87953354103956
2,5.7736494209289555,0.01675,0.0634,5.666589170074463,0.0218,0.0846,0.04986307477472999,246.63496787496842
3,5.5559780418396,0.02815,0.1067,5.507095726013183,0.0356,0.1188,0.04969227007317547,265.5451362079475
4,5.351393703460693,0.0422,0.1459,5.366826692199707,0.0442,0.1574,0.04945379928034147,278.94723087502643
5,5.1375029739379885,0.06235,0.19685,5.076613009643554,0.0674,0.2188,0.04914831602809526,271.82609366695397
6,4.928118367767334,0.0848,0.24575,4.955101902770996,0.0866,0.2578,0.04877665762479737,279.01681233302224
7,4.719521671295166,0.10895,0.30035,4.853349365234375,0.107,0.3012,0.048339842760297555,280.39266091701575
8,4.515824382019043,0.14065,0.3565,4.753325302886963,0.1156,0.3102,0.04783906871377681,285.45114420796745
9,4.351216673278809,0.17105,0.4037,4.617340541839599,0.1338,0.3414,0.04727570807208825,290.2352407090366
10,4.175181732177735,0.2003,0.4517,4.367832988739013,0.1838,0.4136,0.046651304967592046,294.3158292500302
11,4.014710449981689,0.23205,0.4971,4.371946640014649,0.1846,0.417,0.04596757084579587,278.63273912493605
12,3.8795767913818358,0.2593,0.531,4.242475833892822,0.2026,0.4436,0.04522637977440181,288.5676041250117
13,3.719010594177246,0.29555,0.5711,4.210469583892822,0.2176,0.4668,0.044429763306616986,286.52824275009334
14,3.5857900409698487,0.32265,0.60385,4.121068047332764,0.2352,0.485,0.043579904912807464,303.68310025008395
15,3.461790828704834,0.3535,0.6321,3.97554213180542,0.2606,0.5212,0.042679133995757755,262.3614923749119
16,3.32793609085083,0.38385,0.66555,4.204966861724854,0.2348,0.4824,0.041729919505939655,260.0992349999724
17,3.216355871582031,0.40875,0.69905,4.005752484130859,0.2632,0.5286,0.040734863174290675,261.67827745794784
18,3.090564688873291,0.44325,0.72795,3.977110145568848,0.2792,0.537,0.039696692381050364,252.6891864159843
19,2.9608705829620363,0.47485,0.7544,3.9648038375854493,0.281,0.5452,0.038618252680200596,248.02618716692086
20,2.8440541984558108,0.50455,0.7802,3.9175137367248536,0.291,0.552,0.037502499999999994,247.13290670898277
21,2.733361456298828,0.53605,0.80435,3.8980276054382323,0.2988,0.5626,0.03635249254098997,246.18310170900077
22,2.602937560272217,0.57405,0.83545,3.8339456497192383,0.3118,0.575,0.03517138239367963,246.40169333398808
23,2.4988777614593505,0.6013,0.85905,3.826854320526123,0.326,0.5758,0.03396240689888479,246.6658893750282
24,2.38640099029541,0.63815,0.87665,3.8368811904907227,0.3246,0.5804,0.03272887977440181,246.3389742920408
25,2.2743835300445556,0.67575,0.89695,3.8524750617980956,0.3298,0.5852,0.031474182032337504,246.3750814589439
26,2.182552485656738,0.69995,0.91575,3.8495717559814455,0.3282,0.5834,0.030201752711989886,246.27411737502553
27,2.0721564434051514,0.74105,0.9353,3.849007086181641,0.344,0.59,0.028915079453680565,246.30560125003103
28,1.9699864669799805,0.7746,0.95245,3.856807682800293,0.3258,0.583,0.027617688939374992,246.19677074998617
29,1.8700040592193603,0.8108,0.9639,3.856367315673828,0.349,0.5898,0.02631313722629237,246.15288583294023
30,1.7744701332092285,0.84295,0.97465,3.824797619628906,0.3488,0.599,0.025005,246.25494970800355
31,1.696180200958252,0.87195,0.9835,3.7889477813720704,0.3628,0.6064,0.023696862773707618,246.1878276669886
32,1.6085943075180054,0.903,0.98835,3.76298152923584,0.3664,0.6056,0.022392311060625,245.535066209035
33,1.5489145462036134,0.92235,0.993,3.715210269165039,0.3662,0.6138,0.021094920546319423,245.85011958307587
34,1.48816263961792,0.9413,0.9958,3.759204123687744,0.3638,0.6062,0.0198082472880101,245.90847979101818
35,1.4329965522766113,0.95545,0.9973,3.6727240440368654,0.3868,0.6258,0.018535817967662495,246.9098309170222
36,1.387027752494812,0.9678,0.99815,3.6634243850708006,0.3806,0.6192,0.01728112022559819,245.91179304209072
37,1.3537837057113646,0.97655,0.99875,3.6412954727172853,0.3864,0.6264,0.01604759310111522,245.74208050000016
38,1.3252021299362182,0.9824,0.99915,3.6289469200134277,0.3898,0.6264,0.014838617606320378,245.59337245800998
39,1.295807826423645,0.98605,0.99975,3.572854611968994,0.3972,0.6272,0.013657507459010029,246.82966687506996
40,1.274972145652771,0.9896,0.9992,3.5982399322509764,0.3988,0.6272,0.012507500000000005,244.83593145792838
41,1.2548440032958985,0.9911,0.9996,3.560629312133789,0.4058,0.6314,0.011391747319799405,245.28997645899653
42,1.239500972366333,0.99415,0.99985,3.5701548110961916,0.4006,0.6306,0.010313307618949635,245.0892180830706
43,1.229932776260376,0.99485,0.9997,3.55180940246582,0.4054,0.6322,0.009275136825709317,245.1922432499705
44,1.2196716081619263,0.99525,0.9998,3.5537873184204103,0.412,0.6292,0.008280080494060347,245.32090825005434
45,1.207382967376709,0.9967,0.9999,3.535660150146484,0.406,0.6308,0.007330866004242246,245.55688300007023
46,1.1991061023712157,0.99665,0.99985,3.5315734115600588,0.4088,0.628,0.006430095087192536,245.44587141706143
47,1.1918898719787598,0.9969,0.99985,3.527564081573486,0.4176,0.6298,0.005580236693383013,245.22375600005034
48,1.184604158592224,0.9982,0.99985,3.5248393447875976,0.4138,0.6376,0.004783620225598192,245.29795304196887
49,1.1807803367614746,0.99765,0.99985,3.523597492980957,0.4182,0.6316,0.004042429154204129,245.88661195908207
50,1.1777394834518433,0.9978,0.99985,3.5179341209411623,0.4134,0.6348,0.003358695032407955,245.1950499159284
51,1.1722956634521484,0.9986,0.99965,3.518926424407959,0.411,0.6328,0.0027342919279117477,245.2276397079695
52,1.1691519767761231,0.9984,0.99985,3.514739094543457,0.4188,0.6338,0.002170931286223189,245.35463416704442
53,1.1655354618072509,0.998,0.9999,3.5105580879211424,0.4154,0.6348,0.0016701572397024426,244.96546416601632
54,1.1639380432128905,0.99895,0.99995,3.515854776763916,0.4168,0.6354,0.0012333423752026375,245.00143645796925
55,1.163794716835022,0.99825,0.99985,3.515877572631836,0.4164,0.6354,0.0008616839719047376,244.66945962503087
56,1.161528512954712,0.9988,0.99995,3.5161796615600585,0.4126,0.634,0.0005562007196585269,244.54019229207188
57,1.1599224933624268,0.9987,0.9999,3.513815547943115,0.4158,0.635,0.00031772992682453427,244.50945058302023
58,1.15840852394104,0.99905,1.0,3.516681726837158,0.4168,0.6336,0.00014692522527000635,244.88890974991955
59,1.1588026611328126,0.9989,0.9999,3.5129534034729004,0.4174,0.6374,4.4254778809427044e-05,244.9515336670447
60,1.1566491079330445,0.99895,0.99995,3.5198013549804688,0.4158,0.6338,1e-05,245.5268764590146
