true_idx,predicted_idx,true_class,predicted_class,count
466,464,09170_Plantae_Tracheophyta_Magnoliopsida_Ranunculales_Papaveraceae_Dicentra_canadensis,09113_Plantae_Tracheophyta_Magnoliopsida_Piperales_Aristolochiaceae_Endodeca_serpentaria,4
454,387,08842_Plantae_Tracheophyta_Magnoliopsida_Malpighiales_Passifloraceae_Passiflora_caerulea,07441_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Caryophyllaceae_Rabelera_holostea,3
292,289,05428_Fungi_Ascomycota_Lecanoromycetes_Ostropales_Phlyctidaceae_Phlyctis_argena,05404_Fungi_Ascomycota_Lecanoromycetes_Lecanorales_Cladoniaceae_Cladonia_stellaris,3
476,329,09268_Plantae_Tracheophyta_Magnoliopsida_Ranunculales_Ranunculaceae_Ranunculus_glaberrimus,06283_Plantae_Tracheophyta_Liliopsida_Poales_Cyperaceae_Cyperus_ustulatus,3
301,258,05606_Fungi_Basidiomycota_Agaricomycetes_Boletales_Boletaceae_Suillellus_amygdalinus,04848_Animalia_Chordata_Mammalia_Rodentia_Sciuridae_Sciurus_variegatoides,3
380,366,07270_Plantae_Tracheophyta_Magnoliopsida_Brassicales_Brassicaceae_Rapistrum_rugosum,06974_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Senecio_inaequidens,3
21,24,00473_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eupeodes_corollae,00501_Animalia_Arthropoda_Insecta_Diptera_Tachinidae_Trichopoda_pennipes,3
429,412,08184_Plantae_Tracheophyta_Magnoliopsida_Fagales_Fagaceae_Quercus_geminata,07889_Plantae_Tracheophyta_Magnoliopsida_Fabales_Fabaceae_Acacia_cyclops,3
88,83,01688_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Polygrammate_hebraeicum,01629_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Feralia_comstocki,3
312,258,05920_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Polygonatum_biflorum,04848_Animalia_Chordata_Mammalia_Rodentia_Sciuridae_Sciurus_variegatoides,3
122,133,02337_Animalia_Arthropoda_Insecta_Odonata_Calopterygidae_Matrona_cyanoptera,02528_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Neurothemis_tullia,3
464,414,09113_Plantae_Tracheophyta_Magnoliopsida_Piperales_Aristolochiaceae_Endodeca_serpentaria,07906_Plantae_Tracheophyta_Magnoliopsida_Fabales_Fabaceae_Amphicarpaea_bracteata,3
16,287,00305_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Calvia_quatuordecimguttata,05319_Animalia_Mollusca_Gastropoda_Nudibranchia_Onchidorididae_Acanthodoris_lutea,3
304,295,05717_Fungi_Basidiomycota_Dacrymycetes_Dacrymycetales_Dacrymycetaceae_Calocera_cornea,05463_Fungi_Ascomycota_Pezizomycetes_Pezizales_Sarcosomataceae_Galiella_rufa,3
127,133,02462_Animalia_Arthropoda_Insecta_Odonata_Lestidae_Lestes_vigilax,02528_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Neurothemis_tullia,3
324,329,06144_Plantae_Tracheophyta_Liliopsida_Liliales_Liliaceae_Calochortus_pulchellus,06283_Plantae_Tracheophyta_Liliopsida_Poales_Cyperaceae_Cyperus_ustulatus,3
309,496,05823_Plantae_Tracheophyta_Liliopsida_Arecales_Arecaceae_Chamaerops_humilis,09895_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Aspleniaceae_Asplenium_flaccidum,2
210,295,03954_Animalia_Chordata_Aves_Passeriformes_Monarchidae_Terpsiphone_viridis,05463_Fungi_Ascomycota_Pezizomycetes_Pezizales_Sarcosomataceae_Galiella_rufa,2
299,295,05551_Fungi_Basidiomycota_Agaricomycetes_Agaricales_Physalacriaceae_Desarmillaria_tabescens,05463_Fungi_Ascomycota_Pezizomycetes_Pezizales_Sarcosomataceae_Galiella_rufa,2
188,184,03538_Animalia_Chordata_Aves_Columbiformes_Columbidae_Streptopelia_semitorquata,03458_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Calidris_fuscicollis,2
338,335,06515_Plantae_Tracheophyta_Magnoliopsida_Apiales_Apiaceae_Heracleum_sosnowskyi,06453_Plantae_Tracheophyta_Liliopsida_Zingiberales_Musaceae_Musa_acuminata,2
434,329,08298_Plantae_Tracheophyta_Magnoliopsida_Gentianales_Gentianaceae_Gentiana_andrewsii,06283_Plantae_Tracheophyta_Liliopsida_Poales_Cyperaceae_Cyperus_ustulatus,2
240,422,04465_Animalia_Chordata_Aves_Piciformes_Picidae_Sphyrapicus_thyroideus,08040_Plantae_Tracheophyta_Magnoliopsida_Fabales_Fabaceae_Parkinsonia_aculeata,2
164,197,03255_Animalia_Chordata_Aves_Anseriformes_Anatidae_Mareca_strepera,03659_Animalia_Chordata_Aves_Gruiformes_Rallidae_Fulica_cristata,2
101,276,01958_Animalia_Arthropoda_Insecta_Lepidoptera_Nymphalidae_Polygonia_faunus,05048_Animalia_Chordata_Reptilia_Squamata_Phrynosomatidae_Sceloporus_graciosus,2
237,304,04396_Animalia_Chordata_Aves_Pelecaniformes_Pelecanidae_Pelecanus_thagus,05717_Fungi_Basidiomycota_Dacrymycetes_Dacrymycetales_Dacrymycetaceae_Calocera_cornea,2
43,496,00937_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Pyrausta_volupialis,09895_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Aspleniaceae_Asplenium_flaccidum,2
372,434,07148_Plantae_Tracheophyta_Magnoliopsida_Boraginales_Boraginaceae_Euploca_tenella,08298_Plantae_Tracheophyta_Magnoliopsida_Gentianales_Gentianaceae_Gentiana_andrewsii,2
250,276,04644_Animalia_Chordata_Mammalia_Artiodactyla_Camelidae_Lama_guanicoe,05048_Animalia_Chordata_Reptilia_Squamata_Phrynosomatidae_Sceloporus_graciosus,2
281,81,05191_Animalia_Cnidaria_Hydrozoa_Siphonophorae_Physaliidae_Physalia_physalis,01561_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Acronicta_vinnula,2
